,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
0,20171817,넛잡 2,캘런 브런커,2017,20171003,장편,한국,애니메이션,(주)레드로버
1,20165450,남한산성,황동혁,2017,20171003,장편,한국,사극,(주)싸이런픽쳐스
